wave_uid,operation,operation_label,operation_short,wave_number,wave_label,narrative,popup_summary,icon_type,timestamp_utc,timestamp_epoch,conflict_day,payload,drones_used,ballistic_missiles_used,cruise_missiles_used,estimated_munitions_count,cluster_munitions,israel_targeted,us_bases_targeted,landing_countries_iso,landing_countries,targets_description,interception_rate,intercepted_count,fatalities,injuries,damage,launch_site_description,launch_lat,launch_lon,launch_generic,target_lat,target_lon,target_generic,target_iaf_base,target_us_base,target_naval_base,target_naval_vessel,target_government_c2,target_military_industrial,target_intelligence,target_civilian_infrastructure,target_civilian_area,target_diplomatic
tp3_w07,tp3,True Promise 3 (Jun 2025),TP3,7,TP3 Wave 7 — Missiles,"Iran claimed this wave used enhanced intelligence-guided targeting against Tel Aviv and Haifa, suggesting improved battle damage assessment and target refinement from earlier waves. This indicated a feedback loop between Iranian ISR and strike planning.",Time: 2025-06-16T04:00:00Z | Payload: Missiles,launch,2025-06-16T04:00:00Z,1750046400000,4,Missiles,False,True,False,,False,True,False,IL,Israel,"Tel Aviv, Haifa — enhanced intelligence-guided targeting",,,,,,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,False,True,False,False,False
tp3_w08,tp3,True Promise 3 (Jun 2025),TP3,8,TP3 Wave 8 — Hundreds of missiles,"Targeting described as strategic and sensitive sites in Tel Aviv and Haifa, with specific focus on C2 (command and control) systems. The progressive focus on C2 nodes suggested an attempt to degrade Israeli coordination capabilities.",Time: 2025-06-16T00:00:00Z | Payload: Hundreds of missiles | Damage: Targeted command and control systems,launch,2025-06-16T00:00:00Z,1750032000000,4,Hundreds of missiles,False,True,False,,False,True,False,IL,Israel,"Strategic/sensitive targets in Tel Aviv, Haifa — C2 systems targeted",,,,,Targeted command and control systems,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,True,False,False,False,False,False
tp3_w09,tp3,True Promise 3 (Jun 2025),TP3,9,TP3 Wave 9 — Missiles,"A continuation wave maintaining pressure on Haifa and Tel Aviv. By this point in the campaign, the sustained tempo was testing Israeli air defense ammunition stocks and crew endurance.",Time: 2025-06-16T12:00:00Z | Payload: Missiles,launch,2025-06-16T12:00:00Z,1750075200000,4,Missiles,False,True,False,,False,True,False,IL,Israel,"Haifa, Tel Aviv — continued bombardment",,,,,,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,False,False,False,False,False
tp3_w10,tp3,True Promise 3 (Jun 2025),TP3,10,TP3 Wave 10 — Large-scale missile barrage,"This wave specifically targeted Israeli airbases from which jets had launched strikes against Iran, marking a direct retaliatory link between Israeli offensive operations and Iranian target selection.",Time: 2025-06-17T08:00:00Z | Payload: Large-scale missile barrage | Damage: Nevatim Airbase absorbed ~32 MRBMs; direct hit on hardened F-35I shelter (IDF claimed no aircraft damaged). Glilot intel...,launch,2025-06-17T08:00:00Z,1750147200000,5,Large-scale missile barrage,False,True,False,,False,True,False,IL,Israel,Israeli airbases from which jets attacked Iran,,,,,Nevatim Airbase absorbed ~32 MRBMs; direct hit on hardened F-35I shelter (IDF claimed no aircraft damaged). Glilot intel base hit. Tel Nof base hit. Kirya HQ damaged.,Western Iran,34.31,47.07,True,32.0567,35.02,True,True,False,False,False,False,False,False,False,False,False
tp3_w11,tp3,True Promise 3 (Jun 2025),TP3,11,"TP3 Wave 11 — Fattah-1 (first combat use in TP3), Emad, Ghadr, others",A tactically significant wave that used Fattah hypersonic missiles to target and reportedly destroy Israeli air defense radar systems. Iran framed this as a SEAD (Suppression of Enemy Air Defenses) operation designed to clear the path for follow-on missile waves — a doctrinal first for Iranian forces.,"Time: 2025-06-17T23:00:00Z | Payload: Fattah-1 (first combat use in TP3), Emad, Ghadr, others | Damage: Fattah-1 used to destroy air defense radar systems",launch,2025-06-17T23:00:00Z,1750201200000,5,"Fattah-1 (first combat use in TP3), Emad, Ghadr, others",False,True,False,,False,True,False,IL,Israel,"Air defense radars, military targets — Fattah used to destroy radar systems, clearing path for follow-on missiles",,,,,Fattah-1 used to destroy air defense radar systems,Western Iran,34.31,47.07,True,31.25,34.79,True,False,False,False,False,False,False,True,False,False,False
tp3_w12,tp3,True Promise 3 (Jun 2025),TP3,12,"TP3 Wave 12 — Sejjil (~8 missiles, first combat deployment), other MRBMs","The first combat use of Iran's Sejjil two-stage solid-fuel ballistic missile against Tel Aviv. The Sejjil's longer range and faster flight time represented a qualitative escalation in the weapons employed. These ultra-heavy, long-range missiles were designed to stress Israel's upper-tier Arrow interceptors.","Time: 2025-06-19T18:00:00Z | Payload: Sejjil (~8 missiles, first combat deployment), other MRBMs | Munitions: 8",launch,2025-06-19T18:00:00Z,1750356000000,7,"Sejjil (~8 missiles, first combat deployment), other MRBMs",False,True,False,8,False,True,False,IL,Israel,"Tel Aviv — ultra-heavy, long-range, two-stage Sejjil missiles",,,,,,Central/western Iran,34.31,47.07,True,32.07,34.77,True,False,False,False,False,False,False,False,False,False,False
tp3_w13,tp3,True Promise 3 (Jun 2025),TP3,13,TP3 Wave 13 — Missiles and drones,A wave targeting military sites and military industrial facilities in the Haifa and Tel Aviv areas. The targeting of defense industry suggested an attempt to degrade Israel's capacity to sustain military operations and replenish interceptor stocks.,Time: 2025-06-20T00:00:00Z | Payload: Missiles and drones,launch,2025-06-20T00:00:00Z,1750377600000,8,Missiles and drones,True,True,False,,False,True,False,IL,Israel,"Military sites, military industry in Haifa/Tel Aviv",,,,,,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,True,False,False,False,False
tp3_w14,tp3,True Promise 3 (Jun 2025),TP3,14,TP3 Wave 14 — Missiles and drones,Continued strikes on military and industrial facilities. The sustained nature of the campaign by this point — over a week of near-daily waves — was unprecedented in modern missile warfare.,Time: 2025-06-20T08:00:00Z | Payload: Missiles and drones,launch,2025-06-20T08:00:00Z,1750406400000,8,Missiles and drones,True,True,False,,False,True,False,IL,Israel,Military/industrial facilities,,,,,,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,False,False,False,False,False
tp3_w15,tp3,True Promise 3 (Jun 2025),TP3,15,TP3 Wave 15 — New-generation missiles,"Iran announced this wave as a new phase of the campaign, suggesting a deliberate operational pause and reassessment before resuming strikes. Military targets remained the stated focus.",Time: 2025-06-20T12:00:00Z | Payload: New-generation missiles,launch,2025-06-20T12:00:00Z,1750420800000,8,New-generation missiles,False,True,False,,False,True,False,IL,Israel,Military targets — new phase of campaign,,,,,,Western Iran,34.31,47.07,True,,,,False,False,False,False,False,False,False,False,False,False
tp3_w16,tp3,True Promise 3 (Jun 2025),TP3,16,TP3 Wave 16 — Missiles,"A military-focused wave continuing the declared new phase. The cumulative effect of 16 waves was placing enormous strain on Israel's interceptor stockpiles, particularly Arrow-3 and David's Sling missiles.",Time: 2025-06-20T20:00:00Z | Payload: Missiles,launch,2025-06-20T20:00:00Z,1750449600000,8,Missiles,False,True,False,,False,True,False,IL,Israel,Military targets,,,,,,Western Iran,34.31,47.07,True,,,,False,False,False,False,False,False,False,False,False,False
tp3_w17,tp3,True Promise 3 (Jun 2025),TP3,17,TP3 Wave 17 — Missiles,Strikes on military and strategic targets. The campaign had by this point settled into a pattern of daily waves designed to maintain continuous pressure rather than achieve a single decisive blow.,Time: 2025-06-21T06:00:00Z | Payload: Missiles,launch,2025-06-21T06:00:00Z,1750485600000,9,Missiles,False,True,False,,False,True,False,IL,Israel,Military/strategic targets,,,,,,Western Iran,34.31,47.07,True,,,,False,False,False,False,False,False,False,False,False,False
tp3_w18,tp3,True Promise 3 (Jun 2025),TP3,18,TP3 Wave 18 — Shahed-136 drones and precision missiles — new innovations i...,"One of the most significant waves of TP3, targeting 14 named strategic military sites including the Hadera power plant, Haifa oil refinery, Ovda airbase (home to cyber command), the Kiryat Gat semiconductor zone, and the Rafael advanced defense systems centre in Haifa. This wave demonstrated detailed Iranian intelligence on Israeli critical infrastructure.","Time: 2025-06-21T14:00:00Z | Payload: Shahed-136 drones and precision missiles — new innovations in missile selection, target choice, and guidance paths | Casualties: 3 killed, 0 wounded | Damage: 14 strategic military sites targeted including Hadera power plant, Haifa oil refinery, Ovda airbase (cyber command), Kir...",launch,2025-06-21T14:00:00Z,1750514400000,9,"Shahed-136 drones and precision missiles — new innovations in missile selection, target choice, and guidance paths",True,True,False,,False,True,False,IL,Israel,"14 strategic military sites: Hadera power plant, Haifa oil refinery, Ovda airbase (cyber command), Kiryat Gat semiconductor zone, Rafael center Haifa",,,3,,"14 strategic military sites targeted including Hadera power plant, Haifa oil refinery, Ovda airbase (cyber command), Kiryat Gat semiconductor zone, Rafael center Haifa. Bazan Oil Refinery struck (3 killed, refinery shut down). Haifa Power Plant struck (fire).",Western Iran,34.31,47.07,True,31.62,35.06,True,True,False,False,False,False,True,False,True,False,False
tp3_w19,tp3,True Promise 3 (Jun 2025),TP3,19,TP3 Wave 19 — Combined missiles and drones — large combined operation,Described by Iran as a large combined operation against strategic targets. This wave involved both drone swarms and ballistic missiles in a coordinated strike designed to saturate defenses from multiple vectors simultaneously.,Time: 2025-06-22T06:00:00Z | Payload: Combined missiles and drones — large combined operation,launch,2025-06-22T06:00:00Z,1750572000000,10,Combined missiles and drones — large combined operation,True,True,False,,False,True,False,IL,Israel,Strategic targets — large combined operation,,,,,,Western Iran,34.31,47.07,True,32.445,34.885,True,False,False,False,False,False,False,False,False,False,False
tp3_w20,tp3,True Promise 3 (Jun 2025),TP3,20,"TP3 Wave 20 — 40 missiles (solid + liquid fuel), Kheibar Shekan multi-warh...","A major escalation targeting Ben Gurion Airport (Israel's primary international airport), biological research centres, and C2 facilities. Striking the airport represented a direct threat to Israel's connectivity with the outside world and its ability to receive military resupply.","Time: 2025-06-22T10:00:00Z | Payload: 40 missiles (solid + liquid fuel), Kheibar Shekan multi-warhead variant (first use) | Munitions: 40 | Damage: Ben Gurion Airport temporarily shut down; flight diversions for 36 hours",launch,2025-06-22T10:00:00Z,1750586400000,10,"40 missiles (solid + liquid fuel), Kheibar Shekan multi-warhead variant (first use)",False,True,False,40,False,True,False,IL,Israel,"Ben Gurion Airport, biological research centers, C2 facilities",,,,,Ben Gurion Airport temporarily shut down; flight diversions for 36 hours,Central/western Iran,34.31,47.07,True,32.07,34.77,True,False,False,False,False,True,False,False,True,False,False
tp3_w21,tp3,True Promise 3 (Jun 2025),TP3,21,"TP3 Wave 21 — Kheibar/Qadr-H multi-warhead (first use), new-gen missiles",Iran claimed new tactics for precision and destructiveness in this wave against military and strategic targets. The language suggested the introduction of updated guidance systems or warhead configurations refined based on lessons from earlier waves.,"Time: 2025-06-23T09:00:00Z | Payload: Kheibar/Qadr-H multi-warhead (first use), new-gen missiles",launch,2025-06-23T09:00:00Z,1750669200000,11,"Kheibar/Qadr-H multi-warhead (first use), new-gen missiles",False,True,False,,False,True,False,IL,Israel,Military/strategic targets — new tactics for precision and destructiveness,,,,,,Central/western Iran,34.31,47.07,True,32.07,34.77,True,False,False,False,False,False,False,False,False,False,False
tp3_w22,tp3,True Promise 3 (Jun 2025),TP3,22,TP3 Wave 22 — 14 missiles — final wave before ceasefire,"The final wave of the Twelve-Day War, striking military and logistical centres in the last minutes before a US-brokered ceasefire took effect. The timing — launching right up to the ceasefire deadline — was a deliberate signal of Iranian resolve and willingness to continue. Over 22 waves, TP3 had launched an estimated 1,600–1,800 munitions at Israel.","Time: 2025-06-24T03:30:00Z | Payload: 14 missiles — final wave before ceasefire | Munitions: 14 | Casualties: 4 killed, 20 wounded | Damage: Beersheba residential building struck at 5:40am IST. 4 killed, 20 injured. Final missiles until 7:10am. IRGC called it a...",launch,2025-06-24T03:30:00Z,1750735800000,12,14 missiles — final wave before ceasefire,False,True,False,14,False,True,False,IL,Israel,Military and logistical centers — final wave minutes before US-brokered ceasefire,,,4,20,"Beersheba residential building struck at 5:40am IST. 4 killed, 20 injured. Final missiles until 7:10am. IRGC called it a 'historic lesson'.",Western Iran,34.31,47.07,True,31.25,34.79,True,False,False,False,False,False,False,False,False,False,False
tp4_w01,tp4,True Promise 4 (Feb–Mar 2026),TP4,1,"TP4 Wave 1 — Emad and Ghadr ballistic missiles, Shahed-136 drones","The opening wave of True Promise 4 on 28 February 2026 marked a fundamental expansion of Iran's targeting doctrine. For the first time, US military facilities in the Persian Gulf were targeted alongside Israeli sites — including the USN Fifth Fleet headquarters in Bahrain, Port Jebel Ali in the UAE, and Duqm port in Oman. Nevatim Airbase and Tel Aviv were also hit. This wave shattered the geographic boundaries of the conflict.","Time: 2026-02-28T18:30:00Z | Payload: Emad and Ghadr ballistic missiles, Shahed-136 drones | Casualties: 2 killed, 21 wounded | Damage: Impacts reported in Tel Aviv (1 fatality, 21 injuries) and Bnei Brak (several injuries). Damage to US facilities in Gulf...",launch,2026-02-28T18:30:00Z,1772303400000,1,"Emad and Ghadr ballistic missiles, Shahed-136 drones",True,True,False,,False,True,True,"AE, BH, IL, IQ, JO, OM, QA","Bahrain, Iraq, Israel, Jordan, Oman, Qatar, United Arab Emirates","Nevatim airbase, Tel Aviv, US military facilities in Persian Gulf; USN Fifth Fleet HQ Bahrain; Port Jebel Ali UAE; Duqm port Oman (2 drones, 1 injured); Tankers off Oman coast",,,2,21,"Impacts reported in Tel Aviv (1 fatality, 21 injuries) and Bnei Brak (several injuries). Damage to US facilities in Gulf region.",Multiple sites in western Iran including Kermanshah and Tabriz regions,34.31,47.07,False,31.07,34.79,False,True,True,True,True,False,False,False,False,False,False
tp4_w02,tp4,True Promise 4 (Feb–Mar 2026),TP4,2,"TP4 Wave 2 — Ballistic missiles, Shahed-136 drones","The second wave struck Tel Aviv and US bases in Iraq, confirming that the TP4 expansion to American targets was not a one-off escalation but a sustained new doctrine. The targeting of Iraq-based US forces opened a second geographic axis.","Time: 2026-02-28T21:00:00Z | Payload: Ballistic missiles, Shahed-136 drones",launch,2026-02-28T21:00:00Z,1772312400000,1,"Ballistic missiles, Shahed-136 drones",True,True,False,,False,True,True,"IL, IQ","Iraq, Israel","Tel Aviv, US bases in Iraq",,,0,0,,Western Iran,34.31,47.07,False,32.07,34.77,True,False,True,False,False,False,False,False,False,False,False
tp4_w03,tp4,True Promise 4 (Feb–Mar 2026),TP4,3,"TP4 Wave 3 — Advanced ballistic missiles, drones, cruise missiles","A massive multi-axis wave targeting the Israeli naval base and warship dock in Haifa, Ramat David Air Base, the HaKirya military headquarters in Tel Aviv, and multiple US/coalition bases across Kuwait, Iraq, and Saudi Arabia. Notably, the French base Camp de la Paix in Abu Dhabi was also targeted — expanding the conflict to non-US coalition forces. Etihad Towers in Abu Dhabi and the Crowne Plaza Hotel in Manama were struck, raising civilian casualty concerns.","Time: 2026-02-28T23:45:00Z | Payload: Advanced ballistic missiles, drones, cruise missiles | Munitions: 35 | Damage: Abdullah Al-Mubarak Air Base in Kuwait reportedly disabled. Damage to Harir base in Iraq.",launch,2026-02-28T23:45:00Z,1772322300000,1,"Advanced ballistic missiles, drones, cruise missiles",True,True,True,35,False,True,True,"AE, BH, IL, IQ, JO, KW, SA","Bahrain, Iraq, Israel, Jordan, Kuwait, Saudi Arabia, United Arab Emirates","Israeli naval base in Haifa, warship dock in Haifa, Ramat David Air Base, HaKirya (Ministry of War) Tel Aviv, Abdullah Al-Mubarak Air Base Kuwait, Harir base Iraq, Prince Sultan Air Base Saudi Arabia; Crowne Plaza Hotel Manama Bahrain; Etihad Towers Abu Dhabi (drone intercepted, debris damage); French base Camp de la Paix Abu Dhabi; Al-Salam Naval Base Abu Dhabi; Saudi oil refinery",,,0,0,Abdullah Al-Mubarak Air Base in Kuwait reportedly disabled. Damage to Harir base in Iraq.,Western and southwestern Iran,34.31,47.07,False,32.58,35.09,True,True,True,True,True,True,False,False,True,True,False
tp4_w04,tp4,True Promise 4 (Feb–Mar 2026),TP4,4,"TP4 Wave 4 — Kheibar Shekan ballistic missiles, drones",Strikes on the Beit Shams and Ishtod military-industrial complexes in Israel alongside US bases in Kuwait and Iraq. The targeting of defense industrial facilities echoed TP3's attempts to degrade Israeli military production capacity.,"Time: 2026-03-01T01:00:00Z | Payload: Kheibar Shekan ballistic missiles, drones | Damage: Continued strikes on Gulf and Israeli targets",launch,2026-03-01T01:00:00Z,1772326800000,2,"Kheibar Shekan ballistic missiles, drones",True,True,False,,False,True,True,"IL, IQ, KW","Iraq, Israel, Kuwait","Beit Shams military-industrial complex, Ishtod military-industrial complex, US bases in Kuwait and Iraq",,,0,0,Continued strikes on Gulf and Israeli targets,Western Iran,34.31,47.07,False,31.66,34.78,True,False,True,False,False,False,True,False,False,False,False
tp4_w05,tp4,True Promise 4 (Feb–Mar 2026),TP4,5,"TP4 Wave 5 — Ballistic missiles, drones, cruise missiles","A maritime-focused wave targeting American vessels in the Indian Ocean and the Abdullah Mubarak naval base in Kuwait. Two missiles were reportedly fired towards British bases on Cyprus, though this was denied by the Cyprus Ministry of Defence. If confirmed, this would represent the first targeting of European territory.","Time: 2026-03-01T04:00:00Z | Payload: Ballistic missiles, drones, cruise missiles | Damage: IRGC claims strikes on American vessels and Abdullah Mubarak naval base in Kuwait. Oil tanker reportedly struck in India...",launch,2026-03-01T04:00:00Z,1772337600000,2,"Ballistic missiles, drones, cruise missiles",True,True,True,,False,False,True,"CY, IO, KW","British Indian Ocean Territory, Cyprus, Kuwait","American vessels in Indian Ocean, Abdullah Mubarak naval base Kuwait; Two missiles fired towards British bases on Cyprus (denied by Cyprus MoD)",,,0,0,IRGC claims strikes on American vessels and Abdullah Mubarak naval base in Kuwait. Oil tanker reportedly struck in Indian Ocean.,"Western Iran, IRGC naval positions",34.31,47.07,True,29.24,47.97,True,False,True,True,True,False,False,False,False,False,False
